nombre,Tipo_ID,Etapa_ID,Area_ID
Barrio Los Piletones: Nexo Conexión De Red De Agua Potable ( Lacarra) Barrio Los Piletones,8,1,3
Barrio Los Piletones: Finalización Edificios 10 Y 11 (Piletones),3,1,3
Barrio Los Piletones: Finalización Edificios 12 Y 13 (Piletones),3,1,3
Barrio Los Piletones: Mejoras En Frentes - Barrio Los Piletones - Etapa 1,3,1,3
Ecoparque: Elefantes 1er Etapa,2,1,2
Base Operativa 24 De Noviembre,5,1,6
Base Operativa Bilbao,5,1,6
Base Operativa Indoamericano Etapa 1,5,1,6
Boulevard Juan B. Justo: Recuperación Y Puesta En Valor,2,1,6
Pasaje Panamá: Calle Sustentable,2,1,6
Sede Comunal 8 Modificación Del Layout De Puestos De Trabajo,5,1,6
Patio Urbano Paraguay,2,1,6
Sede Comuna 5: Muro Y Azotea Verde,5,1,6
Subsede Comuna 4 Muro Verde Y Cambio Layout,5,1,6
Barrio Rivera Iguazú: Manzana 6 - Construcción De 64 Viviendas,3,1,4
Barrio Rivera Iguazú: Ribera Iguazú,4,1,4
Barrio Rivera Iguazú: Construcción De 128 Viviendas,3,1,4
Barrio Rodrigo Bueno: Movimiento De Suelo En Preparación A Las Tareas De Desarrollo,4,1,4
"Hospital Alvarez - Proyecto, Construcción Y Montaje De Red De Media Presión Y Sub Estaciones 6, 7 Y 8 - Gas",7,1,5
Hospital Alvarez - Instalación De Sistema De Climatización De Aire -Departamento Materno Infantil,7,1,5
Hospital Durand - Reformulación Gases Médicos Uti Pediátrica 8 Puestos,7,1,5
Hospital Pirovano - Readecuación Local De Inflamables,7,1,5
Hospital de Quemados - Puesta En Valor Y Refuncionalización Del Sector De Morgue,7,1,5
Hospital Zubizarreta - Remodelación Guardia,7,1,5
Hospital Maria Ferrer - Instalación De Sistema De Climatización Frí­o/Calor Con Filtrado Especial - 1° Parte,7,1,5
Pasaje Troilo: Calles Sustentables,2,1,6
Autopista 25 De Mayo: Puesta en valor lateral sub sede Comuna 3,2,1,6
Hospital Zubizarreta - Reforma Frente Y Puesta,5,1,6
Plaza Discépolo,2,1,6
"La Redonda, Iglesia de Belgrano.",5,1,6
Plaza 1ro De Mayo,2,1,6
Plaza General Ramí­rez - Etapa 2.,2,1,6
Barrio Las Palomas: Mejoras En Frentes â Las Palomas,3,1,3
Barrio 26 De Junio: Mejoras En Frentes - 33 Viviendas,3,1,3
Ecoparque: Quirófano (Obra),5,1,2
Ecoparque: Felinos Grandes - Modificaciones En Recinto,5,1,2
Hospital Durand - Remodelación Y Reubicación Servicio Anatomí­a Patológica,7,1,5
Hospital Penna - Infraestructura y seguridad - 1° Etapa,7,1,5
Hospital Piñero - Proyecto De Reestructuración - Remodelación Guardia Pediátrica Y Traslado Farmacia,7,1,5
Ecoparque: Felinos Chicos - Modificaciones En Recinto,5,1,2
Ecoparque: Isla Cóndor - Modificaciones En Recinto,5,1,2
Barrio Rodrigo Bueno: Infraestructura,4,1,4
Acumar: Alvarado - Infraestructura,4,1,4
"Distrito Tecnológico: Retiro De Sistema De Almacenamiento Subterráneo De Hidrocarburos (Sash), Tanques, Cañerí­as Y Acceso A Predio Usal",8,1,3
Barrio Fraga: Demoliciones,4,1,4
Parque Avellaneda: Puesta En Valor De Asociación Vecinal Florentino Ameghino Y Biblioteca Popular,5,1,3
Barrio Fraga: Infraestructura,4,1,4
Lacarra Y Av. Cruz: Adecuación De Red Interna Cloacal Conjunto Habitacional 180 Viviendas,8,1,3
Barrio Pirelli: Reparación De Espacios Comunes En Ch 108 Viviendas - BÂ° Pirelli,8,1,3
